SetSize, VertexSet Time [s], Dense Time [s], Sparse Time [s]
20,0.000018,0.000152,0.000010
20,0.000003,0.000129,0.000003
20,0.000010,0.000072,0.000002
20,0.000002,0.000097,0.000002
20,0.000002,0.000107,0.000002
20,0.000005,0.000058,0.000002
20,0.000002,0.000100,0.000002
20,0.000002,0.000057,0.000002
20,0.000002,0.000058,0.000002
20,0.000002,0.000058,0.000002
50,0.000002,0.000057,0.000002
50,0.000002,0.000058,0.000002
50,0.000002,0.000058,0.000002
50,0.000002,0.000057,0.000002
50,0.000002,0.000057,0.000002
50,0.000002,0.000057,0.000002
50,0.000002,0.000063,0.000002
50,0.000002,0.000058,0.000002
50,0.000002,0.000057,0.000002
50,0.000002,0.000057,0.000002
100,0.000002,0.000057,0.000002
100,0.000002,0.000057,0.000002
100,0.000002,0.000057,0.000002
100,0.000002,0.000058,0.000002
100,0.000002,0.000058,0.000002
100,0.000002,0.000057,0.000002
100,0.000002,0.000057,0.000002
100,0.000002,0.000057,0.000002
100,0.000002,0.000057,0.000002
100,0.000002,0.000249,0.000004
200,0.000003,0.000059,0.000004
200,0.000002,0.000057,0.000002
200,0.000002,0.000057,0.000002
200,0.000002,0.000058,0.000002
200,0.000002,0.000058,0.000002
200,0.000002,0.000058,0.000002
200,0.000002,0.000057,0.000002
200,0.000002,0.000058,0.000002
200,0.000002,0.000057,0.000002
200,0.000002,0.000057,0.000002
500,0.000002,0.000154,0.000003
500,0.000002,0.000057,0.000002
500,0.000002,0.000058,0.000002
500,0.000002,0.000057,0.000002
500,0.000002,0.000057,0.000002
500,0.000002,0.000057,0.000002
500,0.000002,0.000058,0.000002
500,0.000002,0.000057,0.000002
500,0.000002,0.000057,0.000002
500,0.000002,0.000057,0.000002
1000,0.000003,0.000058,0.000007
1000,0.000002,0.000105,0.000004
1000,0.000002,0.000058,0.000003
1000,0.000002,0.000057,0.000003
1000,0.000002,0.000058,0.000003
1000,0.000002,0.000057,0.000003
1000,0.000002,0.000057,0.000003
1000,0.000002,0.000058,0.000003
1000,0.000002,0.000057,0.000003
1000,0.000002,0.000057,0.000003
2000,0.000004,0.000057,0.000004
2000,0.000002,0.000058,0.000003
2000,0.000002,0.000057,0.000003
2000,0.000003,0.000059,0.000004
2000,0.000003,0.000059,0.000004
2000,0.000003,0.000059,0.000004
2000,0.000003,0.000058,0.000004
2000,0.000003,0.000058,0.000003
2000,0.000003,0.000058,0.000003
2000,0.000003,0.000058,0.000003
5000,0.000010,0.000059,0.000015
5000,0.000004,0.000059,0.000004
5000,0.000004,0.000066,0.000004
5000,0.000003,0.000068,0.000004
5000,0.000003,0.000067,0.000004
5000,0.000003,0.000067,0.000004
5000,0.000003,0.000067,0.000004
5000,0.000004,0.000066,0.000004
5000,0.000004,0.000069,0.000004
5000,0.000003,0.000068,0.000004
10000,0.000014,0.000083,0.000004
10000,0.000004,0.000074,0.000004
10000,0.000005,0.000073,0.000005
10000,0.000004,0.000072,0.000005
10000,0.000004,0.000077,0.000007
10000,0.000006,0.000079,0.000006
10000,0.000005,0.000072,0.000005
10000,0.000005,0.000075,0.000005
10000,0.000005,0.000075,0.000005
10000,0.000005,0.000076,0.000005
20000,0.000027,0.000102,0.000018
20000,0.000006,0.000092,0.000006
20000,0.000006,0.000088,0.000007
20000,0.000006,0.000084,0.000006
20000,0.000006,0.000089,0.000006
20000,0.000006,0.000085,0.000006
20000,0.000006,0.000088,0.000007
20000,0.000006,0.000094,0.000007
20000,0.000006,0.000089,0.000006
20000,0.000006,0.000086,0.000006
50000,0.000065,0.000101,0.000032
50000,0.000014,0.000119,0.000017
50000,0.000009,0.000103,0.000015
50000,0.000009,0.000102,0.000015
50000,0.000009,0.000103,0.000016
50000,0.000011,0.000128,0.000016
50000,0.000011,0.000103,0.000015
50000,0.000009,0.000099,0.000015
50000,0.000011,0.000102,0.000015
50000,0.000010,0.000102,0.000015
100000,0.000115,0.000060,0.000051
100000,0.000026,0.000109,0.000022
100000,0.000021,0.000100,0.000021
100000,0.000021,0.000105,0.000021
100000,0.000028,0.003375,0.000039
100000,0.000029,0.000126,0.000022
100000,0.000022,0.000101,0.000021
100000,0.000023,0.000098,0.000027
100000,0.000022,0.000101,0.000021
100000,0.000021,0.000097,0.000020
200000,0.000464,0.000718,0.000081
200000,0.000048,0.000093,0.000039
200000,0.003174,0.000235,0.000060
200000,0.000044,0.000098,0.000037
200000,0.000745,0.000139,0.000049
200000,0.000048,0.000098,0.000039
200000,0.001954,0.000298,0.000077
200000,0.000529,0.000149,0.000063
